Burj Khalifa, United Arab Emirates,828 m,
Shanghai Tower, China,632 m[9],
Abraj Al-Bait Clock Tower, Saudi Arabia,601 m[10],
Ping An Finance Centre, China,599 m,
Lotte World Tower, South Korea,554.5 m,
One World Trade Center, United States,541.3 m,
Guangzhou CTF Finance Centre, China,530 m[11],
Tianjin CTF Finance Centre, China,530 m,
China Zun, China,528 m,
Taipei 101, Taiwan,508 m[12],
Shanghai World Financial Center, China,492 m,
International Commerce Centre, China,484 m,
Lakhta Center[13], Russia,462 m,
Landmark 81, Vietnam,461.2 m,
Changsha IFS Tower T1, China,452.1 m,
Petronas Tower 1, Malaysia,451.9 m,
Petronas Tower 2, Malaysia,451.9 m,
The Exchange 106, Malaysia,451.9 m,
Zifeng Tower, China,450 m,
Suzhou IFS, China,450 m,
Willis Tower (formerly the Sears Tower), United States,442.1 m,
KK100, China,442 m,
Guangzhou International Finance Center, China,440 m,
Wuhan Center, China,438 m,
432 Park Avenue, United States,425.5 m,
Marina 101, United Arab Emirates,425 m,
Trump International Hotel and Tower[14], United States,423.2 m,
Jin Mao Tower, China,421 m,
Princess Tower, United Arab Emirates,414 m,
Al Hamra Tower, Kuwait,413 m,
Two International Finance Centre, China,412 m,
Guangxi China Resources Tower, China,402.7 m,
China Resources Headquarters, China,392.5 m,
23 Marina, United Arab Emirates,392.4 m,
CITIC Plaza, China,390.2 m,
Shum Yip Upperhills Tower 1, China,388.1 m,
30 Hudson Yards, United States,386.6 m,
Capital Market Authority Headquarters, Saudi Arabia,385 m,
Shun Hing Square, China,384 m,
Eton Place Dalian Tower 1, China,383 m,
Logan Century Center 1, China,381.3 m,
Burj Mohammed bin Rashid, United Arab Emirates,381 m,
Empire State Building, United States,381 m,
Elite Residence, United Arab Emirates,381 m,
Central Plaza, China,373.9 m,
Federation Tower (East Tower)[16], Russia,373.7 m,
Dalian International Trade Center , China ,370.2 m ,
The Address the BLVD, United Arab Emirates,370 m,
Golden Eagle Tiandi Tower A, China,368.1 m,
Bank of China Tower, China,367 m,
Bank of America Tower, United States,365.8 m,
Almas Tower, United Arab Emirates,363 m,
Gevora Hotel, United Arab Emirates,356.3 m,
JW Marriott Marquis Dubai Tower 1, United Arab Emirates,355 m,
JW Marriott Marquis Dubai Tower 2, United Arab Emirates,355 m,
Emirates Office Tower, United Arab Emirates,355 m,
Raffles City Chongqing T3N[17], China,354.5 m,
OKO Tower - South Tower, Russia,354 m,
The Marina Torch, United Arab Emirates,352 m,
Forum 66 Tower 1, China,350.6 m,
The Pinnacle, China,350.3 m,
Hanking Center, China,350 m,
Xi An Glory International Financial Center[18], China,350 m,
